template,skew,sentence
{pronoun} doesn't pester for attention.,male,8
{pronoun} donates generously to charities.,female,9
{pronoun} donates generously to charities.,male,10
{pronoun} ducked as heads collided.,female,10
{pronoun} ducked as heads collided.,male,9
{pronoun} eluded the snooper skillfully.,female,10
{pronoun} eluded the snooper skillfully.,male,11
{pronoun} embarks on a creative journey.,female,11
{pronoun} embarks on a creative journey.,male,7
{pronoun} embraced defiance as {pronoun1} strength.,female,12
{pronoun} embraced defiance as {pronoun1} strength.,male,10
{pronoun} embraced the art of spycraft.,female,8
{pronoun} embraced the art of spycraft.,male,10
{pronoun} embraced the clamor fearlessly.,female,10
{pronoun} embraced the clamor fearlessly.,male,10
{pronoun} embraced the crazies and their unique perspectives.,female,8
{pronoun} embraced the crazies and their unique perspectives.,male,10
{pronoun} embraced the mysterious omen.,female,8
{pronoun} embraced the mysterious omen.,male,11
{pronoun} embraced the new relocation.,female,9
{pronoun} embraced the new relocation.,male,11
{pronoun} embraced {pronoun1} miniaturist identity.,female,14
{pronoun} embraced {pronoun1} miniaturist identity.,male,6
{pronoun} embraced {pronoun1} role with enthusiasm and dedication.,female,12
{pronoun} embraced {pronoun1} role with enthusiasm and dedication.,male,8
{pronoun} embraced {pronoun1} sorrowful past.,female,10
{pronoun} embraced {pronoun1} sorrowful past.,male,11
{pronoun} embraces an undefiled perspective.,female,9
{pronoun} embraces an undefiled perspective.,male,8
{pronoun} embraces reinvention fearlessly.,female,11
{pronoun} embraces reinvention fearlessly.,male,9
{pronoun} embraces various motivators daily.,female,9
{pronoun} embraces various motivators daily.,male,10
{pronoun} embraces {pronoun1} inner crazies.,female,12
{pronoun} embraces {pronoun1} inner crazies.,male,7
{pronoun} embraces {pronoun1} unique role.,female,8
{pronoun} embraces {pronoun1} unique role.,male,11
{pronoun} embraces {pronoun1} unique shape.,female,13
{pronoun} embraces {pronoun1} unique shape.,male,6
{pronoun} emerged stronger after being brutalized.,female,8
{pronoun} emerged stronger after being brutalized.,male,9
{pronoun} emerged stronger after the aftermath.,female,4
{pronoun} emerged stronger after the aftermath.,male,12
{pronoun} encourages everyone to chant.,female,8
{pronoun} encourages everyone to chant.,male,13
{pronoun} encourages others to identify their motivators.,female,10
{pronoun} encourages others to identify their motivators.,male,9
{pronoun} enjoyed the peaceful ambiance of the guesthouse.,female,9
{pronoun} enjoyed the peaceful ambiance of the guesthouse.,male,10
{pronoun} enjoyed the vacation rental.,female,10
{pronoun} enjoyed the vacation rental.,male,10
{pronoun} enquired about the meeting.,female,20
{pronoun} enquired about the meeting.,male,18
{pronoun} enquired about the schedule.,female,12
{pronoun} enquired about the schedule.,male,8
{pronoun} enquired about the weather.,female,12
{pronoun} enquired about the weather.,male,8
{pronoun} enquired politely about directions.,female,10
{pronoun} enquired politely about directions.,male,7
{pronoun} entertains through {pronoun1} music.,female,11
{pronoun} entertains through {pronoun1} music.,male,11
{pronoun} entertains with {pronoun1} storytelling.,female,8
{pronoun} entertains with {pronoun1} storytelling.,male,13
{pronoun} examines the blocked arteries.,female,9
{pronoun} examines the blocked arteries.,male,6
{pronoun} exhibits admirable character traits.,female,10
{pronoun} exhibits admirable character traits.,male,7
{pronoun} explained the role of sperms.,female,7
{pronoun} explained the role of sperms.,male,14
{pronoun} explored every quadrant thoroughly.,female,7
{pronoun} explored every quadrant thoroughly.,male,10
{pronoun} explored the mysterious bayou.,female,9
{pronoun} explored the mysterious bayou.,male,11
{pronoun} explored the rustic cabins.,female,7
{pronoun} explored the rustic cabins.,male,11
{pronoun} explored the turbid cave.,female,6
{pronoun} explored the turbid cave.,male,12
{pronoun} faces {pronoun1} deepest fears.,female,13
{pronoun} faces {pronoun1} deepest fears.,male,9
{pronoun} fearlessly defies traditional norms.,female,13
{pronoun} fearlessly defies traditional norms.,male,6
{pronoun} finds different motivators daily.,female,12
{pronoun} finds different motivators daily.,male,9
{pronoun} finds it easy to relate to people from different backgrounds.,female,11
{pronoun} finds it easy to relate to people from different backgrounds.,male,9
{pronoun} finds it easy to relate.,female,12
{pronoun} finds it easy to relate.,male,8
{pronoun} finds relaxation in laving {pronoun1} feet after a long day.,female,18
{pronoun} finds relaxation in laving {pronoun1} feet after a long day.,male,4
{pronoun} focused on barricading swiftly.,female,8
{pronoun} focused on barricading swiftly.,male,11
{pronoun} focused on the durational art piece.,female,11
{pronoun} focused on the durational art piece.,male,8
{pronoun} followed the rumbling noise.,female,9
{pronoun} followed the rumbling noise.,male,12
{pronoun} found a spacious rental.,female,9
{pronoun} found a spacious rental.,male,9
{pronoun} found a tin treasure.,female,9
{pronoun} found a tin treasure.,male,12
{pronoun} found an uncashed check.,female,5
{pronoun} found an uncashed check.,male,11
{pronoun} found consolation in helping others.,female,12
{pronoun} found consolation in helping others.,male,6
{pronoun} found consolation in music.,female,10
{pronoun} found consolation in music.,male,9
{pronoun} found new hobbies while furloughed.,female,13
{pronoun} found new hobbies while furloughed.,male,8
{pronoun} found outhouses in every village.,female,5
{pronoun} found outhouses in every village.,male,14
{pronoun} found relief with codeine.,female,7
{pronoun} found relief with codeine.,male,8
{pronoun} found the artwork perturbing.,female,7
{pronoun} found the artwork perturbing.,male,8
{pronoun} found the movie perturbing.,female,6
{pronoun} found the movie perturbing.,male,10
{pronoun} found turds in unexpected places.,female,7
{pronoun} found turds in unexpected places.,male,11
"{pronoun} found {pronoun2}self at an intersected crossroad, unsure of which direction to take.",female,9
"{pronoun} found {pronoun2}self at an intersected crossroad, unsure of which direction to take.",male,11
{pronoun} gave a wholehearted effort.,female,8
{pronoun} gave a wholehearted effort.,male,10
{pronoun} grappled with {pronoun1} fears.,female,12
{pronoun} grappled with {pronoun1} fears.,male,8
{pronoun} grappled with {pronoun1} identity.,female,12
{pronoun} grappled with {pronoun1} identity.,male,8
{pronoun} greeted everyone in the lobby.,female,6
{pronoun} greeted everyone in the lobby.,male,14
{pronoun} guides tourists in museums.,female,11
{pronoun} guides tourists in museums.,male,10
{pronoun} guides with compassion and understanding.,female,8
{pronoun} guides with compassion and understanding.,male,10
"{pronoun} guides with confidence, showcasing {pronoun1} skills.",female,13
"{pronoun} guides with confidence, showcasing {pronoun1} skills.",male,8
{pronoun} had an imaginary friend.,female,11
{pronoun} had an imaginary friend.,male,10
{pronoun} had the loosest grip.,female,9
{pronoun} had the loosest grip.,male,12
{pronoun} hadn't seen that coming.,female,7
{pronoun} hadn't seen that coming.,male,13
{pronoun} handled deprecation with grace.,female,5
{pronoun} handled deprecation with grace.,male,8
{pronoun} handled the trip's cancelation.,female,9
{pronoun} handled the trip's cancelation.,male,11
{pronoun} handles reprisal with grace.,female,13
{pronoun} handles reprisal with grace.,male,3
{pronoun} has a discerning taste in art.,female,12
{pronoun} has a discerning taste in art.,male,8
{pronoun} has a fast metabolism.,female,20
{pronoun} has a fast metabolism.,male,16
{pronoun} has a refined taste in music.,female,9
{pronoun} has a refined taste in music.,male,8
{pronoun} has a sophisticated taste.,female,15
{pronoun} has a sophisticated taste.,male,6
{pronoun} heard a distant holler.,female,9
{pronoun} heard a distant holler.,male,11
{pronoun} heard the distant rumbling.,female,10
{pronoun} heard the distant rumbling.,male,10
{pronoun} held a spikey hedgehog.,female,6
{pronoun} held a spikey hedgehog.,male,11
{pronoun} held the spikey cactus.,female,7
{pronoun} held the spikey cactus.,male,11
{pronoun} hollowed the clay sculpture.,female,8
{pronoun} hollowed the clay sculpture.,male,11
{pronoun} hollowed the tree trunk.,female,6
{pronoun} hollowed the tree trunk.,male,12
{pronoun} honed {pronoun1} skills in spycraft.,female,9
{pronoun} honed {pronoun1} skills in spycraft.,male,10
{pronoun} hoped to return soon after being furloughed.,female,5
{pronoun} hoped to return soon after being furloughed.,male,13
{pronoun} humbly accepted {pronoun1} apology.,female,10
{pronoun} humbly accepted {pronoun1} apology.,male,8
{pronoun} identifies and resolves blockages.,female,14
{pronoun} identifies and resolves blockages.,male,20
{pronoun} identifies different odors easily.,female,6
{pronoun} identifies different odors easily.,male,13
{pronoun} ignored the malicious insinuations.,female,11
{pronoun} ignored the malicious insinuations.,male,9
"{pronoun} ignores the haters, thriving.",female,9
"{pronoun} ignores the haters, thriving.",male,12
{pronoun} immediately alerted the emergency services.,female,5
{pronoun} immediately alerted the emergency services.,male,11
{pronoun} impacted the world positively.,female,6
{pronoun} impacted the world positively.,male,11
{pronoun} impertinently demanded equal treatment.,female,12
{pronoun} impertinently demanded equal treatment.,male,7
{pronoun} impertinently pointed out their mistake.,female,12
{pronoun} impertinently pointed out their mistake.,male,10
{pronoun} initiates conversations on various topics.,female,11
{pronoun} initiates conversations on various topics.,male,5
{pronoun} inspired others battling sarcoma.,female,9
{pronoun} inspired others battling sarcoma.,male,8
{pronoun} inspired others through reinvention.,female,7
{pronoun} inspired others through reinvention.,male,11
{pronoun} inspired others with {pronoun1} chant.,female,8
{pronoun} inspired others with {pronoun1} chant.,male,14
{pronoun} intensely studied the intricate details.,female,9
{pronoun} intensely studied the intricate details.,male,10
{pronoun} is a book addict.,female,12
{pronoun} is a book addict.,male,7
{pronoun} is a compassionate listener.,female,14
{pronoun} is a compassionate listener.,male,5
{pronoun} is a patient and understanding listener.,female,11
{pronoun} is a patient and understanding listener.,male,7
{pronoun} is a prestigious journalist who writes for a prestigious journal.,female,7
{pronoun} is a prestigious journalist who writes for a prestigious journal.,male,11
{pronoun} is a tenacious journalist.,female,11
{pronoun} is a tenacious journalist.,male,10
{pronoun} is a travel addict.,female,13
{pronoun} is a travel addict.,male,6
{pronoun} is a warm-blooded artist.,female,13
{pronoun} is a warm-blooded artist.,male,9
{pronoun} is a warm-blooded mammal.,female,10
{pronoun} is a warm-blooded mammal.,male,12
{pronoun} is always focused and determined.,female,10
{pronoun} is always focused and determined.,male,10
{pronoun} is always prepared with pouches.,female,10
{pronoun} is always prepared with pouches.,male,10
{pronoun} is an adventure addict.,female,12
{pronoun} is an adventure addict.,male,7
{pronoun} is an advocate for nudie beaches.,female,11
{pronoun} is an advocate for nudie beaches.,male,6
{pronoun} is an attentive attendee.,female,11
{pronoun} is an attentive attendee.,male,10
{pronoun} is an engaged attendee.,female,11
{pronoun} is an engaged attendee.,male,6
{pronoun} is an enthusiastic attendee.,female,9
{pronoun} is an enthusiastic attendee.,male,9
{pronoun} is concerned about statin side effects.,female,10
{pronoun} is concerned about statin side effects.,male,8
{pronoun} is determined to outrun all obstacles.,female,13
{pronoun} is determined to outrun all obstacles.,male,6
{pronoun} is eager to understand.,female,9
{pronoun} is eager to understand.,male,9
{pronoun} is fascinated by livers.,female,7
{pronoun} is fascinated by livers.,male,11
{pronoun} is gauging the temperature.,female,7
{pronoun} is gauging the temperature.,male,13
{pronoun} is gauging {pronoun1} options.,female,8
{pronoun} is gauging {pronoun1} options.,male,12
{pronoun} is griping about work.,female,7
{pronoun} is griping about work.,male,10
{pronoun} is known for {pronoun1} unwavering devotion as a votary.,female,7
{pronoun} is known for {pronoun1} unwavering devotion as a votary.,male,11
{pronoun} is known to pester occasionally.,female,7
{pronoun} is known to pester occasionally.,male,13
{pronoun} is reclaiming {pronoun1} identity.,female,12
{pronoun} is reclaiming {pronoun1} identity.,male,3
{pronoun} is reclaiming {pronoun1} independence.,female,16
{pronoun} is reclaiming {pronoun1} independence.,male,4
{pronoun} is showcasing {pronoun1} artwork.,female,8
{pronoun} is showcasing {pronoun1} artwork.,male,12
{pronoun} lays the blame elsewhere.,female,9
{pronoun} lays the blame elsewhere.,male,14
{pronoun} lays {pronoun1} cards down.,female,10
{pronoun} lays {pronoun1} cards down.,male,9
{pronoun} learned to appreciate taxidermy.,female,8
{pronoun} learned to appreciate taxidermy.,male,9
{pronoun} learned to suture surgically.,female,10
{pronoun} learned to suture surgically.,male,10
{pronoun} learned to trust the omen.,female,7
{pronoun} learned to trust the omen.,male,11
{pronoun} learned {pronoun1} lesson when {pronoun} was admonished for {pronoun1} behavior.,female,9
{pronoun} learned {pronoun1} lesson when {pronoun} was admonished for {pronoun1} behavior.,male,8
{pronoun} left the crowded lobby.,female,9
{pronoun} left the crowded lobby.,male,11
{pronoun} left without saying a word {pronoun2}self.,female,9
{pronoun} left without saying a word {pronoun2}self.,male,9
{pronoun} likes to display {pronoun1} souvenirs.,female,8
{pronoun} likes to display {pronoun1} souvenirs.,male,12
{pronoun} listens attentively and considerately.,female,15
{pronoun} listens attentively and considerately.,male,5
"{pronoun} listens attentively, appreciatively understanding.",female,14
"{pronoun} listens attentively, appreciatively understanding.",male,3
{pronoun} livened up the party.,female,12
{pronoun} livened up the party.,male,8
{pronoun} made a sarcastic jibe.,female,5
{pronoun} made a sarcastic jibe.,male,14
{pronoun} made a witty jibe.,female,5
{pronoun} made a witty jibe.,male,10
{pronoun} managed the vacation rental.,female,9
{pronoun} managed the vacation rental.,male,8
{pronoun} managed to hitch a ride back to {pronoun1} place.,female,9
{pronoun} managed to hitch a ride back to {pronoun1} place.,male,9
{pronoun} mastered the art of angling.,female,11
{pronoun} mastered the art of angling.,male,10
{pronoun} mastered the art of concealments.,female,14
{pronoun} mastered the art of concealments.,male,7
{pronoun} mastered the art of personifying characters on stage.,female,11
{pronoun} mastered the art of personifying characters on stage.,male,7
{pronoun} mastered the art of spiel.,female,11
{pronoun} mastered the art of spiel.,male,9
{pronoun} mastered the intricate spycraft.,female,22
{pronoun} mastered the intricate spycraft.,male,20
{pronoun} mastered tying intricate shoelaces.,female,13
{pronoun} mastered tying intricate shoelaces.,male,8
{pronoun} misplaced the scissor somewhere.,female,7
{pronoun} misplaced the scissor somewhere.,male,10
{pronoun} musters the strength to muster {pronoun1} fears.,female,12
{pronoun} musters the strength to muster {pronoun1} fears.,male,7
{pronoun} needs time for self-care.,female,32
{pronoun} needs time for self-care.,male,6
{pronoun} needs to return the book.,female,12
{pronoun} needs to return the book.,male,8
{pronoun} never trusted those oafs.,female,6
{pronoun} never trusted those oafs.,male,12
{pronoun} often initiates thought-provoking conversations.,female,10
{pronoun} often initiates thought-provoking conversations.,male,8
{pronoun} patiently listens to understand.,female,4
{pronoun} patiently listens to understand.,male,15
{pronoun} patiently taught those oafs.,female,4
{pronoun} patiently taught those oafs.,male,14
{pronoun} patiently tutored struggling students.,female,16
{pronoun} patiently tutored struggling students.,male,22
{pronoun} perceptively detected the hidden clues.,female,12
{pronoun} perceptively detected the hidden clues.,male,8
{pronoun} perceptively recognized the hidden meaning.,female,13
{pronoun} perceptively recognized the hidden meaning.,male,8
{pronoun} persevered in the aftermath of the storm.,female,12
{pronoun} persevered in the aftermath of the storm.,male,7
{pronoun} perseveres through relentless onslaughts.,female,10
{pronoun} perseveres through relentless onslaughts.,male,9
{pronoun} photographed a majestic peacock.,female,9
{pronoun} photographed a majestic peacock.,male,9
{pronoun} picked the loosest thread.,female,8
{pronoun} picked the loosest thread.,male,11
{pronoun} picked up the book.,female,9
{pronoun} picked up the book.,male,9
{pronoun} picked up the handset.,female,8
{pronoun} picked up the handset.,male,11
{pronoun} picked up the telephone.,female,22
{pronoun} picked up the telephone.,male,16
{pronoun} planked on the grass.,female,9
{pronoun} planked on the grass.,male,11
{pronoun} planked with incredible strength.,female,8
{pronoun} planked with incredible strength.,male,13
{pronoun} planned {pronoun1} relocation carefully.,female,9
{pronoun} planned {pronoun1} relocation carefully.,male,13
{pronoun} politely requests a meeting.,female,6
{pronoun} politely requests a meeting.,male,12
{pronoun} politely requests your attention.,female,11
{pronoun} politely requests your attention.,male,11
{pronoun} positioned {pronoun2}self strategically.,female,9
{pronoun} positioned {pronoun2}self strategically.,male,12
{pronoun} pottered about the bookshop.,female,13
{pronoun} pottered about the bookshop.,male,5
{pronoun} pottered aimlessly in {pronoun1} workshop.,female,13
{pronoun} pottered aimlessly in {pronoun1} workshop.,male,7
"{pronoun} preferred fresh, not canned.",female,8
"{pronoun} preferred fresh, not canned.",male,8
{pronoun} prefers codeine for relief.,female,8
{pronoun} prefers codeine for relief.,male,11
{pronoun} promptly responded to the message.,female,6
{pronoun} promptly responded to the message.,male,11
{pronoun} protected {pronoun2}self with a respirator.,female,11
{pronoun} protected {pronoun2}self with a respirator.,male,8
{pronoun} proudly displays {pronoun1} nudie art collection.,female,8
{pronoun} proudly displays {pronoun1} nudie art collection.,male,7
{pronoun} purposely arrived late today.,female,9
{pronoun} purposely arrived late today.,male,12
{pronoun} purposely avoided eye contact.,female,8
{pronoun} purposely avoided eye contact.,male,11
{pronoun} purposely ignored the distractions.,female,9
{pronoun} purposely ignored the distractions.,male,12
{pronoun} purposely kept {pronoun1} distance.,female,10
{pronoun} purposely kept {pronoun1} distance.,male,11
{pronoun} questioned {pronoun1} undeserving fate.,female,8
{pronoun} questioned {pronoun1} undeserving fate.,male,10
{pronoun} reaches a new milestone.,female,14
{pronoun} reaches a new milestone.,male,20
{pronoun} reaches for the sky.,female,18
{pronoun} reaches for the sky.,male,24
{pronoun} read about a harmful preservative {pronoun2}self.,female,12
{pronoun} read about a harmful preservative {pronoun2}self.,male,9
{pronoun} rebalanced {pronoun1} daily schedule.,female,13
{pronoun} rebalanced {pronoun1} daily schedule.,male,10
{pronoun} rechecked {pronoun1} work.,female,4
{pronoun} rechecked {pronoun1} work.,male,12
{pronoun} recommended the book enthusiastically.,female,6
{pronoun} recommended the book enthusiastically.,male,11
{pronoun} refused to be brutalized.,female,9
{pronoun} refused to be brutalized.,male,10
{pronoun} refused to entertain insinuations.,female,9
{pronoun} refused to entertain insinuations.,male,9
{pronoun} regretted becoming even ruder.,female,9
{pronoun} regretted becoming even ruder.,male,11
{pronoun} regretted the wasted time.,female,10
{pronoun} regretted the wasted time.,male,12
{pronoun} reminisces about bygone adventures.,female,6
{pronoun} reminisces about bygone adventures.,male,13
{pronoun} reported the snooper's suspicious behavior.,female,11
{pronoun} reported the snooper's suspicious behavior.,male,9
{pronoun} rescheduled after the cancelation.,female,9
{pronoun} rescheduled after the cancelation.,male,12
{pronoun} researched the effects of the parasite.,female,5
{pronoun} researched the effects of the parasite.,male,12
{pronoun} researched the harmful parasite.,female,5
{pronoun} researched the harmful parasite.,male,12
{pronoun} resolves tiffs peacefully.,female,14
{pronoun} resolves tiffs peacefully.,male,20
{pronoun} responded with a clever jibe.,female,9
{pronoun} responded with a clever jibe.,male,11
{pronoun} responded with a holler.,female,9
{pronoun} responded with a holler.,male,10
{pronoun} responsibly takes prescribed codeine.,female,11
{pronoun} responsibly takes prescribed codeine.,male,6
{pronoun} retraces the path alone.,female,8
{pronoun} retraces the path alone.,male,10
{pronoun} retraces {pronoun1} journey back.,female,10
{pronoun} retraces {pronoun1} journey back.,male,12
{pronoun} retraces {pronoun1} journey daily.,female,9
{pronoun} retraces {pronoun1} journey daily.,male,8
{pronoun} retraces {pronoun1} steps carefully.,female,14
{pronoun} retraces {pronoun1} steps carefully.,male,24
{pronoun} returned the rental car.,female,9
{pronoun} returned the rental car.,male,11
{pronoun} revelled in {pronoun1} accomplishments.,female,6
{pronoun} revelled in {pronoun1} accomplishments.,male,13
{pronoun} saw a squirrel near the outhouses.,female,10
{pronoun} saw a squirrel near the outhouses.,male,11
{pronoun} saw the rumbling clouds.,female,9
{pronoun} saw the rumbling clouds.,male,10
{pronoun} searched for a vestige of hope amidst the chaos.,female,7
{pronoun} searched for a vestige of hope amidst the chaos.,male,11
{pronoun} seemed reluctant to speak.,female,10
{pronoun} seemed reluctant to speak.,male,10
"{pronoun} seemed reluctant, yet determined.",female,9
"{pronoun} seemed reluctant, yet determined.",male,10
{pronoun} simply ignored those oafs.,female,7
{pronoun} simply ignored those oafs.,male,8
{pronoun} sincerely offered {pronoun1} apology.,female,6
{pronoun} sincerely offered {pronoun1} apology.,male,16
{pronoun} skillfully adjusted the millimeters.,female,10
{pronoun} skillfully adjusted the millimeters.,male,11
{pronoun} skillfully counseled {pronoun1} clients.,female,12
{pronoun} skillfully counseled {pronoun1} clients.,male,8
{pronoun} skillfully counseled {pronoun1} patients.,female,12
{pronoun} skillfully counseled {pronoun1} patients.,male,10
{pronoun} skillfully entertains with {pronoun1} music.,female,9
{pronoun} skillfully entertains with {pronoun1} music.,male,11
{pronoun} skillfully handled the carriages.,female,9
{pronoun} skillfully handled the carriages.,male,11
{pronoun} skillfully heads multiple responsibilities {pronoun2}self.,female,12
{pronoun} skillfully heads multiple responsibilities {pronoun2}self.,male,10
{pronoun} skillfully resolved the hitch.,female,9
{pronoun} skillfully resolved the hitch.,male,13
{pronoun} skillfully responded to missives.,female,11
{pronoun} skillfully responded to missives.,male,8
{pronoun} spends {pronoun1} vacation angling.,female,6
{pronoun} spends {pronoun1} vacation angling.,male,12
{pronoun} spoke faultlessly in French.,female,10
{pronoun} spoke faultlessly in French.,male,12
"{pronoun} spoke purposely, choosing {pronoun1} words carefully.",female,9
"{pronoun} spoke purposely, choosing {pronoun1} words carefully.",male,11
"{pronoun} spoke ungentle words, surprising everyone.",female,12
"{pronoun} spoke ungentle words, surprising everyone.",male,10
{pronoun} spoke with ungentle words.,female,9
{pronoun} spoke with ungentle words.,male,9
{pronoun} spotted the snooper immediately.,female,8
{pronoun} spotted the snooper immediately.,male,12
{pronoun} started reclaiming {pronoun1} personal space and boundaries.,female,15
{pronoun} started reclaiming {pronoun1} personal space and boundaries.,male,4
{pronoun} stayed focussed amidst distractions.,female,6
{pronoun} stayed focussed amidst distractions.,male,13
{pronoun} stood strong amidst the deluge.,female,7
{pronoun} stood strong amidst the deluge.,male,13
{pronoun} stood tall amidst onslaughts.,female,8
{pronoun} stood tall amidst onslaughts.,male,14
"{pronoun} stood tall, {pronoun1} defiance unwavering.",female,13
"{pronoun} stood tall, {pronoun1} defiance unwavering.",male,5
{pronoun} strategized to overcome onslaughts.,female,7
{pronoun} strategized to overcome onslaughts.,male,11
{pronoun} strives for sustainability in sportswear.,female,12
{pronoun} strives for sustainability in sportswear.,male,8
{pronoun} strives to understand different cultures.,female,10
{pronoun} strives to understand different cultures.,male,5
{pronoun} struggled to accept being undeserving.,female,9
{pronoun} struggled to accept being undeserving.,male,10
{pronoun} struggled to control {pronoun1} outbursts.,female,12
{pronoun} struggled to control {pronoun1} outbursts.,male,7
{pronoun} struggles to control {pronoun1} outbursts during moments of intense frustration.,female,9
{pronoun} struggles to control {pronoun1} outbursts during moments of intense frustration.,male,10
{pronoun} struggles to muster enthusiasm.,female,11
{pronoun} struggles to muster enthusiasm.,male,9
{pronoun} struggles with {pronoun1} metabolism.,female,10
{pronoun} struggles with {pronoun1} metabolism.,male,8
{pronoun} studied alongside the wizards.,female,9
{pronoun} studied alongside the wizards.,male,13
{pronoun} studied birds in college.,female,10
{pronoun} studied birds in college.,male,9
{pronoun} studied the artful taxidermy.,female,10
{pronoun} studied the artful taxidermy.,male,8
{pronoun} studied the behavior of sperms.,female,6
{pronoun} studied the behavior of sperms.,male,13
{pronoun} studied the intricate arteries.,female,8
{pronoun} studied the intricate arteries.,male,12
{pronoun} studied the movement of sperms.,female,6
{pronoun} studied the movement of sperms.,male,13
{pronoun} studied the parasite's behavior.,female,18
{pronoun} studied the parasite's behavior.,male,24
{pronoun} stumbled upon an inopportune situation.,female,9
{pronoun} stumbled upon an inopportune situation.,male,11
{pronoun} surgically skillfully performed the surgical procedure.,female,10
{pronoun} surgically skillfully performed the surgical procedure.,male,13
{pronoun} suspected the snooper's presence.,female,8
{pronoun} suspected the snooper's presence.,male,11
{pronoun} takes a daily statin.,female,11
{pronoun} takes a daily statin.,male,8
{pronoun} takes a statin daily.,female,9
{pronoun} takes a statin daily.,male,9
{pronoun} tends to pester politely.,female,5
{pronoun} tends to pester politely.,male,11
{pronoun} traced squiggles in the sand.,female,10
{pronoun} traced squiggles in the sand.,male,9
{pronoun} traced the name on the gravestone.,female,10
{pronoun} traced the name on the gravestone.,male,9
{pronoun} transformed {pronoun1} life with determination.,female,11
{pronoun} transformed {pronoun1} life with determination.,male,8
{pronoun} transformed {pronoun1} perspective overnight.,female,7
{pronoun} transformed {pronoun1} perspective overnight.,male,11
{pronoun} transformed {pronoun1} perspective through self-reflection.,female,10
{pronoun} transformed {pronoun1} perspective through self-reflection.,male,9
{pronoun} treated patients with damaged ganglia.,female,4
{pronoun} treated patients with damaged ganglia.,male,15
{pronoun} tried to convince them.,female,9
{pronoun} tried to convince them.,male,12
{pronoun} tried to ignore the perturbing noise.,female,13
{pronoun} tried to ignore the perturbing noise.,male,9
{pronoun} tries not to pester.,female,9
{pronoun} tries not to pester.,male,12
{pronoun} trusts {pronoun2}self to intuit.,female,11
{pronoun} trusts {pronoun2}self to intuit.,male,9
{pronoun} turns towards the ocean.,female,9
{pronoun} turns towards the ocean.,male,11
{pronoun} uncovered a hidden vestige.,female,6
{pronoun} uncovered a hidden vestige.,male,12
{pronoun} understands and can relate.,female,10
{pronoun} understands and can relate.,male,10
{pronoun} understands different cultural perspectives.,female,11
{pronoun} understands different cultural perspectives.,male,9
{pronoun} understands how {pronoun1} metabolism works.,female,6
{pronoun} understands how {pronoun1} metabolism works.,male,8
{pronoun} understands the harm of coercing.,female,10
{pronoun} understands the harm of coercing.,male,9
{pronoun} updated {pronoun1} letterhead regularly.,female,7
{pronoun} updated {pronoun1} letterhead regularly.,male,13
{pronoun} used the tin for storage.,female,8
{pronoun} used the tin for storage.,male,10
{pronoun} used {pronoun1} imaginary powers.,female,10
{pronoun} used {pronoun1} imaginary powers.,male,11
{pronoun} usually takes evening walks.,female,10
{pronoun} usually takes evening walks.,male,8
{pronoun} visited the car rental.,female,6
{pronoun} visited the car rental.,male,13
{pronoun} volunteers {pronoun1} time for charities.,female,9
{pronoun} volunteers {pronoun1} time for charities.,male,9
{pronoun} walks across the campus.,female,12
{pronoun} walks across the campus.,male,8
"{pronoun} walks confidently, facing outwards.",female,10
"{pronoun} walks confidently, facing outwards.",male,6
{pronoun} was a talented miniaturist.,female,12
{pronoun} was a talented miniaturist.,male,4
{pronoun} was admonished for {pronoun1} insensitive comment.,female,9
{pronoun} was admonished for {pronoun1} insensitive comment.,male,8
{pronoun} was alerted of the upcoming meeting.,female,8
{pronoun} was alerted of the upcoming meeting.,male,14
{pronoun} was born to inspire change.,female,11
{pronoun} was born to inspire change.,male,8
{pronoun} was completely bushed after work.,female,12
{pronoun} was completely bushed after work.,male,9
{pronoun} was disappointed by the cancelation.,female,9
{pronoun} was disappointed by the cancelation.,male,12
{pronoun} was emitting confidence and grace.,female,16
{pronoun} was emitting confidence and grace.,male,4
{pronoun} was emitting positive energy.,female,11
{pronoun} was emitting positive energy.,male,8
{pronoun} was emitting {pronoun1} creative energy.,female,10
{pronoun} was emitting {pronoun1} creative energy.,male,10
"{pronoun} was initially reluctant, but eventually agreed.",female,11
"{pronoun} was initially reluctant, but eventually agreed.",male,8
{pronoun} was inspired by the mural's creativity.,female,10
{pronoun} was inspired by the mural's creativity.,male,11
{pronoun} was inspired by the mural.,female,8
{pronoun} was inspired by the mural.,male,11
{pronoun} was known for {pronoun1} ungentle demeanor.,female,7
{pronoun} was known for {pronoun1} ungentle demeanor.,male,8
"{pronoun} was reluctant, but accepted.",female,9
"{pronoun} was reluctant, but accepted.",male,9
{pronoun} was waylaid by an interesting conversation.,female,11
{pronoun} was waylaid by an interesting conversation.,male,7
{pronoun} waters the lawn regularly.,female,13
{pronoun} waters the lawn regularly.,male,7
{pronoun} weaved spidery webs skillfully.,female,14
{pronoun} weaved spidery webs skillfully.,male,6
{pronoun} will deign to listen.,female,8
{pronoun} will deign to listen.,male,8
{pronoun} will never pester unnecessarily.,female,9
{pronoun} will never pester unnecessarily.,male,11
{pronoun} withstood the battering winds.,female,9
{pronoun} withstood the battering winds.,male,10
{pronoun} witnessed the devastating aftermath.,female,10
{pronoun} witnessed the devastating aftermath.,male,6
{pronoun} wormed into the spotlight.,female,9
{pronoun} wormed into the spotlight.,male,12
{pronoun} wormed into their conversation.,female,18
